,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
294,3,2019.0,6.5,1.0,11337.0,8.316666666666666
295,4,2019.0,6.5,1.0,17710.0,7.366666666666667
296,5,2019.0,6.5,2.0,21844.0,5.341666666666666
297,6,2019.0,6.5,2.0,34705.0,5.491666666666667
298,7,2019.0,6.5,2.0,29350.0,4.241666666666666
299,8,2019.0,6.5,2.0,29117.0,4.75
300,9,2019.0,6.5,2.0,38455.0,5.383333333333333
301,10,2019.0,6.5,2.0,25754.0,5.858333333333333
302,11,2019.0,6.5,3.0,28836.0,7.183333333333334
303,12,2019.0,6.5,3.0,816.0,11.758333333333333
304,13,2019.0,6.5,3.0,20506.0,7.783333333333334
305,14,2019.0,6.5,3.0,6897.0,7.583333333333333
306,15,2019.0,6.5,3.0,11132.0,6.133333333333333
307,16,2019.0,6.5,3.0,12688.0,6.316666666666666
308,17,2019.0,6.5,3.0,16163.0,5.2250000000000005
309,18,2019.0,6.5,3.0,28367.0,5.716666666666666
310,19,2019.0,6.5,4.0,28471.0,5.783333333333334
311,20,2019.0,6.5,4.0,14547.0,5.758333333333333
312,21,2019.0,6.5,4.0,7025.0,2.875
313,22,2019.0,6.5,5.0,3121.0,2.8666666666666667
314,23,2019.0,6.5,5.0,14983.0,3.0
315,24,2019.0,6.5,5.0,10066.0,3.4416666666666664
316,25,2019.0,6.5,5.0,15861.0,3.533333333333333
317,26,2019.0,6.5,5.0,29773.0,3.5
318,27,2019.0,6.5,5.0,19029.0,4.8
319,28,2019.0,6.5,6.0,9998.0,5.925
320,29,2019.0,6.5,6.0,4950.0,4.983333333333333
321,30,2019.0,6.5,6.0,8292.0,6.141666666666667
322,31,2019.0,6.5,6.0,34941.0,5.425
323,32,2019.0,6.5,6.0,22614.0,5.516666666666667
324,33,2019.0,6.5,7.0,16570.0,5.808333333333334
325,34,2019.0,6.5,7.0,6031.0,6.058333333333334
326,35,2019.0,6.5,7.0,24108.0,6.125
327,36,2019.0,6.5,7.0,5794.0,7.908333333333334
328,37,2019.0,6.5,7.0,20567.0,7.616666666666667
329,38,2019.0,6.5,7.0,7751.0,6.3
330,39,2019.0,6.5,7.0,4555.0,6.541666666666667
331,40,2019.0,6.5,7.0,3125.0,6.908333333333334
332,41,2019.0,6.5,7.0,3500.0,6.566666666666666
333,42,2019.0,6.5,7.0,479.0,3.3499999999999996
334,43,2019.0,6.5,7.0,17002.0,7.716666666666666
335,44,2019.0,6.5,8.0,16192.0,7.541666666666667
336,45,2019.0,6.5,8.0,16782.0,7.108333333333333
337,46,2019.0,6.5,8.0,10172.0,7.4750000000000005
338,47,2019.0,6.5,8.0,1406.0,7.566666666666666
339,48,2019.0,6.5,8.0,8971.0,9.725
340,49,2019.0,6.5,8.0,4135.0,10.308333333333334
341,50,2019.0,6.5,8.0,10739.0,8.583333333333334
342,51,2019.0,6.5,8.0,8117.0,8.716666666666667
343,52,2019.0,6.5,8.0,16606.0,8.083333333333334
344,53,2019.0,6.5,8.0,5082.0,12.125
345,54,2019.0,6.5,8.0,1996.0,8.533333333333333
